Engine_Size,Cylinders,Horsepower,Weight,Acceleration,Model_Year,Origin,Vehicle_Type,MPG
4.4,6,278.0,3239.0,9.4,1977,USA,Sports,10.0
1.8,4,94.0,2514.0,9.7,1979,USA,Sedan,21.7
3.7,6,221.0,4293.0,10.0,1984,USA,SUV,10.0
3.5,8,293.0,3142.0,6.2,1981,Europe,Sports,10.0
2.8,4,101.0,2965.0,10.7,1983,USA,Sedan,21.7
1.7,4,72.0,2329.0,9.1,1974,Japan,Sedan,24.7
4.3,8,299.0,4846.0,8.0,1982,USA,SUV,10.0
3.7,6,209.0,4049.0,10.0,1971,Japan,SUV,10.0
1.9,4,82.0,2561.0,11.5,1973,Europe,Sedan,20.9
2.6,6,217.0,2766.0,6.9,1973,USA,Sports,16.8
3.5,8,244.0,4312.0,9.7,1975,Japan,Truck,10.0
1.6,4,59.0,2526.0,13.1,1979,USA,Sedan,23.4
3.4,6,235.0,2838.0,7.7,1973,Japan,Sports,15.5
3.9,8,259.0,4316.0,,1978,Europe,SUV,10.0
3.9,6,242.0,4646.0,7.4,1977,USA,Truck,10.0
4.2,6,242.0,4476.0,8.5,1977,USA,SUV,10.0
1.5,4,72.0,2552.0,9.9,1970,Europe,Sedan,21.9
4.3,8,283.0,4762.0,9.0,1977,USA,SUV,10.0
1.6,4,70.0,2364.0,8.7,1984,Europe,Sedan,23.9
3.7,6,224.0,4311.0,9.3,1980,USA,SUV,10.0
2.8,6,188.0,2384.0,7.7,1975,Japan,Sports,16.9
2.3,6,113.0,2764.0,9.8,1982,USA,Sedan,16.1
3.1,6,218.0,4200.0,8.9,1977,Europe,Truck,10.0
4.1,8,276.0,4666.0,7.9,1975,USA,SUV,10.0
3.7,8,258.0,4417.0,8.5,1970,USA,SUV,10.0
1.8,6,166.0,2448.0,7.6,1981,Japan,Sports,21.9
2.5,6,226.0,2660.0,6.7,1972,USA,Sports,17.8
3.5,8,267.0,4961.0,9.8,1981,USA,Truck,10.0
3.0,6,145.0,3067.0,9.0,1972,Europe,Sedan,11.6
1.9,4,99.0,2662.0,9.9,1984,USA,Sedan,22.8
3.1,6,161.0,3077.0,9.2,1977,USA,Sedan,13.5
3.0,6,147.0,3170.0,9.8,1983,Europe,Sedan,13.3
4.7,8,318.0,4942.0,8.7,1981,USA,Truck,10.0
4.1,6,234.0,4174.0,10.2,1979,Europe,SUV,10.0
1.8,6,103.0,2969.0,9.5,1977,USA,Sedan,17.8
1.7,6,97.0,2370.0,10.6,1974,Japan,Sedan,21.3
3.5,8,261.0,4479.0,9.7,1977,Europe,Truck,10.0
3.5,8,254.0,4595.0,10.3,1984,USA,SUV,10.0
2.3,4,104.0,2838.0,11.0,1980,USA,Sedan,17.7
2.8,4,195.0,2546.0,6.6,1978,Europe,Sports,20.7
2.5,4,109.0,2567.0,9.1,1980,Europe,Sedan,21.7
2.7,4,178.0,2500.0,8.3,1976,USA,Sports,20.9
3.5,8,253.0,4585.0,10.7,1984,Japan,Truck,10.0
4.4,6,252.0,4056.0,7.4,1971,Europe,SUV,10.0
4.2,6,237.0,4059.0,8.8,1982,Japan,SUV,10.0
3.0,6,223.0,4122.0,10.0,1980,USA,SUV,10.0
2.8,4,93.0,2505.0,10.0,1978,Japan,Sedan,22.4
3.5,8,259.0,2967.0,6.9,1983,Japan,Sports,13.5
3.0,6,193.0,4136.0,10.1,1973,Japan,Truck,10.0
4.3,6,,4346.0,9.4,1983,Japan,Truck,10.0
4.2,8,276.0,4550.0,9.1,1985,USA,SUV,10.0
2.6,6,131.0,2789.0,8.8,1973,USA,Sedan,13.3
2.4,6,132.0,2805.0,8.8,1979,USA,Sedan,11.8
3.5,8,264.0,4332.0,9.9,1981,USA,SUV,10.0
4.2,8,276.0,4390.0,7.8,1976,USA,SUV,10.0
5.2,6,299.0,5228.0,9.5,1976,USA,Truck,10.0
2.4,4,107.0,2556.0,9.3,1974,Europe,Sedan,25.4
3.8,8,276.0,4920.0,8.9,1977,USA,Truck,10.0
1.8,4,82.0,2417.0,9.7,1972,USA,Sedan,19.4
2.8,4,102.0,2732.0,8.2,1970,USA,Sedan,15.0
2.7,6,222.0,2873.0,6.2,1976,USA,Sports,12.5
2.0,4,74.0,2422.0,8.2,1979,Europe,Sedan,21.3
3.5,8,268.0,4571.0,10.0,1982,Europe,Truck,10.0
3.6,6,222.0,4128.0,9.2,1983,Japan,Truck,11.1
1.8,6,113.0,2715.0,9.7,1982,USA,Sedan,16.2
3.9,6,213.0,3868.0,8.5,1980,Japan,SUV,10.0
1.6,4,72.0,2272.0,9.3,1983,Europe,Sedan,25.8
2.7,6,227.0,2670.0,6.8,1970,USA,Sports,13.1
3.5,8,259.0,4211.0,10.8,1978,Europe,SUV,10.0
2.3,4,91.0,2869.0,9.7,1975,USA,Sedan,17.4
2.7,4,102.0,2728.0,10.0,1971,USA,Sedan,15.7
2.5,6,208.0,2385.0,7.6,1976,Japan,Sports,19.0
1.9,6,107.0,2742.0,10.7,1981,Europe,Sedan,20.3
1.8,4,90.0,2483.0,9.8,1985,Europe,Sedan,24.7
1.4,4,50.0,2215.0,10.4,1985,Japan,Sedan,31.6
4.9,6,272.0,5002.0,10.5,1973,USA,Truck,10.0
3.5,8,289.0,3187.0,7.3,1975,Europe,Sports,10.0
2.5,6,181.0,3830.0,8.4,1982,Europe,SUV,10.0
3.5,6,234.0,4656.0,8.2,1982,USA,Truck,10.0
2.7,4,96.0,2648.0,8.7,1985,Japan,Sedan,21.4
2.7,4,102.0,2580.0,10.1,1979,Europe,Sedan,15.8
2.8,4,103.0,2856.0,10.8,1973,Europe,Sedan,21.0
4.3,6,236.0,4405.0,10.9,1981,Europe,SUV,10.0
3.9,8,270.0,4360.0,7.8,1983,Japan,Truck,10.0
1.8,6,109.0,2815.0,9.1,1985,USA,Sedan,17.6
3.6,6,218.0,4773.0,11.1,1981,USA,Truck,10.0
4.1,6,239.0,4731.0,11.3,1974,USA,Truck,7.0
3.5,8,251.0,4319.0,9.1,1975,USA,SUV,10.0
3.9,8,288.0,4906.0,7.1,1982,USA,Truck,10.0
2.2,6,112.0,2678.0,10.5,1982,Europe,Sedan,17.9
3.5,8,252.0,4340.0,9.4,1971,USA,SUV,10.0
1.5,4,85.0,2353.0,9.5,1978,Europe,Sedan,22.8
2.8,4,105.0,2678.0,8.7,1985,USA,Sedan,21.3
3.9,6,260.0,2852.0,6.3,1980,Europe,Sports,13.4
2.7,6,178.0,3726.0,11.1,1982,Japan,SUV,15.3
2.8,4,112.0,2853.0,8.4,1979,USA,Sedan,14.2
2.8,4,100.0,2804.0,10.8,1971,USA,Sedan,10.0
2.2,6,206.0,2432.0,6.3,1970,Europe,Sports,17.2
2.8,4,115.0,2645.0,9.3,1973,USA,Sedan,17.6
2.7,6,186.0,4253.0,10.8,1982,USA,SUV,10.0
5.0,8,333.0,5135.0,7.8,1971,USA,Truck,10.0
1.9,6,158.0,2281.0,8.2,1978,Japan,Sports,22.2
2.8,4,98.0,2342.0,10.0,1970,Japan,Sedan,23.0
3.4,6,220.0,4776.0,12.4,1984,USA,Truck,10.0
2.1,4,68.0,2444.0,9.1,1984,Japan,Sedan,26.4
3.6,6,224.0,4053.0,10.9,1976,Europe,SUV,10.0
2.0,4,82.0,2572.0,9.3,1982,USA,Sedan,20.0
2.5,4,96.0,2812.0,9.7,1983,Europe,Sedan,18.4
5.3,8,324.0,5313.0,8.4,1984,USA,Truck,10.0
1.8,4,94.0,2381.0,9.2,1973,Europe,Sedan,22.0
3.1,6,241.0,3028.0,7.9,1973,Europe,Sports,16.1
2.7,4,118.0,2845.0,9.0,1971,Europe,Sedan,18.2
2.2,6,132.0,3030.0,9.5,1977,Europe,Sedan,15.8
2.2,4,88.0,2367.0,9.3,1975,Japan,Sedan,28.7
2.1,4,91.0,2621.0,10.6,1982,USA,Sedan,21.5
2.8,4,105.0,2551.0,7.7,1971,USA,Sedan,14.9
2.2,4,88.0,2789.0,10.4,1972,USA,Sedan,15.7
3.7,8,240.0,4102.0,9.7,1970,Japan,SUV,10.0
2.5,6,130.0,2837.0,9.8,1975,Japan,Sedan,15.8
4.2,8,285.0,4672.0,8.6,1981,USA,SUV,10.0
4.5,8,303.0,4614.0,9.8,1979,Europe,SUV,10.0
2.6,6,153.0,2663.0,9.1,1974,Europe,Sedan,15.2
3.6,8,277.0,4669.0,8.6,1982,Europe,Truck,10.0
1.8,4,79.0,2498.0,10.3,1984,USA,Sedan,20.9
4.2,6,274.0,3237.0,7.3,1977,USA,Sports,10.0
2.3,6,148.0,2875.0,9.1,1975,USA,Sedan,12.6
2.8,4,109.0,3163.0,8.4,1985,USA,Sedan,18.3
2.7,6,146.0,2989.0,9.3,1978,USA,Sedan,10.0
2.3,4,94.0,2542.0,10.4,1985,Europe,Sedan,24.7
2.8,4,166.0,2390.0,5.7,1985,Japan,Sports,26.0
2.4,6,136.0,2809.0,8.3,1982,USA,Sedan,16.9
1.5,4,59.0,2370.0,9.3,1978,Europe,Sedan,22.9
2.5,6,129.0,2568.0,10.0,1976,Europe,Sedan,14.0
2.8,4,108.0,2599.0,8.8,1972,Europe,Sedan,18.4
4.5,8,303.0,4852.0,10.0,1982,Europe,Truck,10.0
3.5,8,244.0,4361.0,9.3,1972,Japan,Truck,10.0
3.5,8,233.0,4361.0,10.7,1973,Japan,SUV,10.0
3.6,6,225.0,4399.0,9.1,1980,USA,SUV,10.0
2.8,6,186.0,3707.0,9.4,1970,Japan,SUV,10.2
4.4,6,256.0,4856.0,9.1,1983,USA,Truck,10.0
3.5,8,258.0,4360.0,8.8,1976,Japan,Truck,10.0
2.7,6,197.0,4035.0,9.1,1973,USA,SUV,10.0
3.8,8,255.0,4504.0,9.5,1985,Japan,Truck,10.0
2.4,4,103.0,2772.0,9.7,1972,USA,Sedan,15.3
4.4,8,298.0,5194.0,10.7,1983,USA,Truck,10.0
4.7,6,270.0,4787.0,9.6,1978,Europe,Truck,10.0
2.0,4,69.0,2563.0,10.6,1979,Japan,Sedan,25.6
2.4,4,99.0,2926.0,10.1,1970,USA,Sedan,13.7
1.8,6,109.0,2388.0,9.8,1978,Japan,Sedan,23.0
3.5,8,254.0,4593.0,8.6,1983,USA,SUV,10.0
1.8,6,120.0,2761.0,8.9,1973,USA,Sedan,15.6
2.3,6,200.0,2523.0,8.3,1977,Europe,Sports,19.0
3.4,6,238.0,3958.0,8.2,1973,Europe,SUV,10.0
4.5,6,274.0,4586.0,9.5,1978,Europe,Truck,10.0
2.8,6,152.0,3267.0,9.1,1973,USA,Sedan,10.0
2.8,4,115.0,3157.0,10.4,1982,USA,Sedan,19.1
3.5,8,271.0,3111.0,7.3,1973,Japan,Sports,10.0
2.7,6,153.0,3076.0,9.5,1980,USA,Sedan,12.8
2.8,4,98.0,2927.0,11.5,1983,USA,Sedan,18.1
2.0,4,,2323.0,8.0,1976,Europe,Sports,23.8
2.3,4,92.0,2764.0,8.8,1977,Europe,Sedan,23.5
3.2,6,150.0,3131.0,11.1,1973,Europe,Sedan,10.0
3.7,6,237.0,4616.0,12.0,1974,USA,Truck,10.0
3.5,8,248.0,4136.0,8.1,1970,Japan,SUV,10.0
4.0,6,238.0,4561.0,8.0,1976,Europe,Truck,10.0
3.5,8,286.0,3060.0,7.2,1979,USA,Sports,10.0
2.0,6,205.0,2681.0,8.2,1972,Europe,Sports,17.6
2.4,4,80.0,2301.0,9.6,1983,Japan,Sedan,27.2
2.8,4,104.0,2855.0,10.5,1975,USA,Sedan,15.0
3.3,6,169.0,3153.0,10.1,1976,USA,Sedan,10.0
1.8,4,62.0,2649.0,12.0,1972,USA,Sedan,17.3
1.5,4,69.0,2329.0,9.6,1980,Europe,Sedan,24.3
3.9,6,234.0,4605.0,9.0,1977,USA,SUV,10.0
3.5,8,281.0,4698.0,9.1,1974,USA,Truck,10.0
4.0,6,229.0,3991.0,9.4,1979,Japan,SUV,10.0
1.7,4,55.0,2209.0,10.8,1973,Japan,Sedan,27.0
3.5,8,243.0,3961.0,6.7,1977,Japan,SUV,10.0
4.6,6,265.0,4495.0,9.5,1972,USA,SUV,10.0
3.3,6,152.0,3137.0,9.2,1977,Europe,Sedan,12.0
2.3,6,126.0,3065.0,9.5,1973,USA,Sedan,10.5
2.7,6,219.0,2720.0,7.8,1970,Japan,Sports,18.3
1.5,4,67.0,2492.0,9.3,1971,USA,Sedan,20.2
2.2,4,91.0,2540.0,8.4,1979,Europe,Sedan,21.8
3.8,8,272.0,4528.0,8.4,1974,USA,SUV,10.0
2.8,4,104.0,2801.0,10.5,1982,Europe,Sedan,18.4
2.5,6,120.0,2591.0,8.2,1978,Japan,Sedan,15.7
2.8,4,108.0,2957.0,9.2,1981,USA,Sedan,15.1
2.5,4,161.0,2380.0,7.6,1981,Europe,Sports,26.8
3.5,8,,2641.0,5.0,1983,Japan,Sports,16.8
3.5,8,263.0,4674.0,8.3,1985,USA,Truck,10.0
1.8,4,62.0,2258.0,10.7,1981,Japan,Sedan,27.6
3.5,8,248.0,4247.0,9.3,1984,USA,SUV,10.0
1.9,6,123.0,2514.0,8.1,1972,Europe,Sedan,17.4
3.0,6,236.0,2916.0,7.8,1980,USA,Sports,14.6
3.8,8,279.0,3108.0,5.4,1977,Japan,Sports,10.0
1.9,6,179.0,2232.0,9.4,1977,Japan,Sports,24.8
1.6,4,69.0,2468.0,9.8,1977,USA,Sedan,21.3
1.8,6,125.0,2455.0,9.6,1982,Europe,Sedan,20.5
2.5,4,98.0,2581.0,9.9,1973,Japan,Sedan,18.0
2.6,4,114.0,2947.0,9.5,1985,USA,Sedan,18.3
3.9,8,268.0,4533.0,9.7,1983,Japan,Truck,10.0
3.5,8,264.0,2846.0,8.9,1971,Japan,Sports,10.1
1.7,6,96.0,2661.0,7.9,1978,USA,Sedan,16.7
2.8,4,101.0,2674.0,10.3,1985,Europe,Sedan,19.3
2.6,4,107.0,2507.0,11.0,1983,Europe,Sedan,23.9
3.6,6,221.0,4268.0,9.7,1972,Japan,Truck,10.0
3.9,6,231.0,4278.0,10.9,1979,USA,SUV,10.0
2.7,4,118.0,2703.0,8.7,1981,USA,Sedan,18.9
3.9,8,289.0,3332.0,8.3,1974,USA,Sports,10.0
2.0,4,87.0,2424.0,11.3,1976,Japan,Sedan,25.8
2.8,6,219.0,2507.0,6.6,1975,Japan,Sports,17.1
5.1,6,294.0,5127.0,9.3,1973,USA,Truck,10.0
1.4,4,79.0,2415.0,10.1,1975,Europe,Sedan,24.7
2.1,6,110.0,3018.0,10.9,1980,USA,Sedan,13.5
2.8,4,100.0,2587.0,11.4,1972,Europe,Sedan,17.5
3.6,6,199.0,3934.0,10.3,1983,Japan,SUV,11.8
3.0,6,167.0,3264.0,8.5,1977,USA,Sedan,13.9
2.4,4,167.0,2385.0,7.5,1975,Europe,Sports,21.9
2.6,6,138.0,2822.0,8.7,1973,Japan,Sedan,14.1
1.5,4,65.0,2218.0,9.4,1977,Europe,Sedan,27.1
1.9,6,122.0,2751.0,9.8,1976,USA,Sedan,16.6
2.7,4,189.0,2716.0,7.4,1985,Europe,Sports,24.1
3.4,6,229.0,4556.0,10.0,1971,USA,Truck,10.0
4.2,8,295.0,4877.0,8.0,1983,USA,Truck,10.0
4.4,6,248.0,4373.0,8.2,1985,Europe,SUV,10.0
2.8,4,198.0,2507.0,5.8,1984,Europe,Sports,22.6
3.9,6,275.0,3356.0,7.0,1977,USA,Sports,10.0
2.8,4,183.0,2309.0,7.4,1976,Japan,Sports,23.6
2.6,6,225.0,2926.0,9.0,1979,USA,Sports,13.9
2.8,4,95.0,2963.0,10.7,1974,USA,Sedan,13.9
4.0,8,290.0,5189.0,10.6,1978,USA,Truck,10.0
2.7,4,196.0,2674.0,5.7,1978,USA,Sports,16.7
2.9,6,153.0,3271.0,11.4,1979,USA,Sedan,10.0
5.3,6,300.0,5034.0,10.9,1980,USA,Truck,10.0
2.6,6,181.0,3648.0,10.1,1977,Europe,SUV,12.7
3.5,8,260.0,4241.0,7.3,1970,USA,SUV,10.0
2.3,6,196.0,2266.0,5.9,1980,Japan,Sports,21.4
1.4,4,50.0,2348.0,9.8,1975,Japan,Sedan,27.1
3.7,8,303.0,3160.0,5.0,1976,USA,Sports,10.0
2.1,4,82.0,2509.0,9.9,1982,Japan,Sedan,24.3
2.4,4,90.0,2559.0,9.1,1984,Europe,Sedan,25.1
4.0,8,276.0,4480.0,9.2,1970,Japan,Truck,10.0
3.5,8,274.0,2759.0,6.3,1984,Japan,Sports,12.7
2.6,4,96.0,2448.0,9.4,1985,Japan,Sedan,24.7
2.8,4,188.0,2382.0,7.1,1976,Europe,Sports,19.3
4.5,8,310.0,4535.0,9.3,1979,USA,SUV,10.0
1.4,4,50.0,2186.0,9.7,1981,Japan,Sedan,31.8
3.9,6,235.0,4317.0,10.3,1971,USA,SUV,10.0
2.1,4,75.0,2363.0,9.9,1974,Japan,Sedan,25.7
3.5,8,256.0,4163.0,8.7,1981,Europe,SUV,10.0
2.9,6,154.0,2987.0,10.1,1975,Europe,Sedan,12.7
2.3,4,81.0,2821.0,10.3,1977,USA,Sedan,14.0
2.7,4,112.0,2950.0,,1983,Europe,Sedan,19.0
2.4,4,83.0,2340.0,8.5,1979,Japan,Sedan,26.9
3.0,6,201.0,4144.0,10.2,1982,USA,SUV,10.0
2.0,6,119.0,2723.0,9.9,1980,Europe,Sedan,17.1
1.9,4,84.0,2682.0,10.8,1976,USA,Sedan,23.0
4.2,6,245.0,4896.0,8.7,1985,USA,Truck,10.0
3.2,6,226.0,4648.0,10.5,1974,USA,Truck,10.0
3.6,6,246.0,4358.0,9.8,1977,USA,Truck,10.0
3.5,8,253.0,3979.0,9.4,1971,Europe,SUV,10.0
3.7,6,236.0,4650.0,10.8,1983,USA,Truck,10.0
2.7,4,185.0,2545.0,8.8,1983,USA,Sports,23.2
2.8,4,105.0,2806.0,9.7,1974,USA,Sedan,14.7
3.6,8,284.0,3188.0,5.0,1983,USA,Sports,10.0
3.2,6,214.0,4336.0,8.9,1973,USA,SUV,10.0
2.8,4,111.0,2657.0,10.5,1974,Europe,Sedan,17.6
2.6,6,187.0,4131.0,9.9,1977,USA,SUV,10.0
2.1,6,117.0,2653.0,9.9,1977,Japan,Sedan,20.7
2.7,6,215.0,2758.0,9.6,1984,USA,Sports,10.4
2.8,4,115.0,2988.0,8.6,1980,USA,Sedan,15.4
1.6,6,100.0,2725.0,9.3,1983,USA,Sedan,18.4
2.6,6,144.0,2802.0,9.8,1975,USA,Sedan,10.4
3.1,6,,3992.0,11.0,1979,Europe,SUV,10.0
4.0,6,224.0,4259.0,9.6,1971,Japan,Truck,10.0
2.8,4,196.0,2795.0,7.4,1975,USA,Sports,16.1
2.3,4,66.0,2510.0,9.4,1985,Japan,Sedan,25.6
3.9,6,220.0,3808.0,9.3,1975,Japan,SUV,10.0
2.3,4,99.0,2565.0,10.4,1975,USA,Sedan,21.2
3.5,8,292.0,3100.0,5.8,1978,Europe,Sports,10.0
3.1,6,218.0,4481.0,8.6,1975,USA,Truck,10.0
2.7,6,144.0,2943.0,9.8,1978,USA,Sedan,13.2
2.6,4,110.0,2714.0,6.8,1975,Europe,Sedan,17.1
2.4,4,80.0,2524.0,8.9,1979,Japan,Sedan,24.7
3.9,6,251.0,3067.0,6.0,1977,USA,Sports,10.0
3.8,6,218.0,4400.0,9.7,1984,Japan,Truck,10.0
5.0,8,318.0,5360.0,8.0,1985,USA,Truck,10.0
2.8,4,102.0,2671.0,8.3,1984,Europe,Sedan,22.7
3.8,8,254.0,4443.0,10.0,1983,Japan,Truck,10.0
3.8,8,290.0,4892.0,9.1,1973,USA,Truck,10.0
3.0,6,169.0,3225.0,9.6,1984,USA,Sedan,13.1
3.7,6,227.0,4188.0,8.9,1978,USA,SUV,10.0
2.9,6,190.0,3711.0,8.7,1985,Japan,SUV,16.8
4.0,8,262.0,4512.0,9.2,1975,USA,SUV,10.0
2.4,6,144.0,2557.0,9.6,1978,USA,Sedan,13.2
2.5,4,91.0,2549.0,10.8,1981,Japan,Sedan,22.6
4.0,8,305.0,3271.0,5.1,1970,Europe,Sports,10.0
2.8,4,191.0,2570.0,7.5,1981,USA,Sports,21.1
2.0,4,80.0,2822.0,11.4,1981,USA,Sedan,19.3
2.1,6,91.0,2613.0,7.3,1973,Japan,Sedan,21.0
2.2,4,97.0,2554.0,10.3,1982,Europe,Sedan,24.7
2.0,6,207.0,2478.0,8.2,1980,Europe,Sports,22.5
2.4,6,211.0,2754.0,5.9,1975,USA,Sports,14.2
2.9,6,227.0,2837.0,7.2,1979,USA,Sports,14.0
3.1,6,208.0,4081.0,8.7,1971,USA,SUV,10.0
1.5,4,60.0,2230.0,11.4,1972,Europe,Sedan,22.7
3.5,8,292.0,2974.0,7.8,1976,Europe,Sports,10.9
3.6,8,252.0,4403.0,10.4,1973,USA,SUV,10.0
3.5,8,289.0,3150.0,5.0,1984,Europe,Sports,10.0
3.6,6,237.0,2829.0,6.9,1983,Japan,Sports,15.8
3.9,8,266.0,4610.0,10.2,1972,Japan,Truck,10.0
3.5,8,267.0,4254.0,9.4,1977,USA,SUV,10.0
1.6,6,103.0,2719.0,10.1,1972,USA,Sedan,15.0
1.6,4,68.0,2653.0,10.0,1977,USA,Sedan,21.6
3.6,8,294.0,3057.0,6.6,1974,USA,Sports,10.0
1.8,4,77.0,2681.0,11.8,1983,Europe,Sedan,24.9
2.8,4,110.0,2862.0,9.4,1978,USA,Sedan,16.7
1.6,6,98.0,2649.0,8.8,1985,USA,Sedan,21.6
3.0,6,205.0,4346.0,10.1,1980,USA,SUV,10.0
3.7,8,273.0,4985.0,10.7,1975,USA,Truck,10.0
2.8,4,110.0,2645.0,10.6,1975,USA,Sedan,18.2
3.5,8,276.0,3069.0,5.6,1985,Japan,Sports,15.4
3.3,6,249.0,2754.0,8.1,1975,Europe,Sports,21.3
3.8,6,225.0,4323.0,11.0,1971,USA,SUV,10.0
2.8,4,107.0,3039.0,9.2,1981,USA,Sedan,17.2
2.4,6,189.0,2367.0,7.8,1973,Japan,Sports,19.4
2.8,4,114.0,2798.0,9.6,1975,Europe,Sedan,15.8
2.7,6,141.0,2987.0,10.5,1984,USA,Sedan,16.0
4.5,6,252.0,4431.0,7.9,1977,USA,SUV,10.0
3.7,8,249.0,3975.0,7.5,1981,Japan,SUV,10.0
2.5,6,183.0,3241.0,9.3,1974,Japan,SUV,18.2
2.0,4,62.0,2650.0,10.8,1974,Europe,Sedan,19.5
4.2,6,254.0,4439.0,8.6,1980,USA,SUV,10.0
2.1,4,88.0,2769.0,10.3,1981,USA,Sedan,16.1
3.8,6,224.0,4280.0,10.9,1974,USA,SUV,10.0
3.7,6,225.0,4065.0,10.3,1974,Europe,SUV,10.0
3.6,8,252.0,4781.0,10.8,1976,USA,Truck,10.0
1.8,4,71.0,2572.0,9.2,1971,USA,Sedan,19.8
2.3,4,85.0,2878.0,10.9,1976,USA,Sedan,15.4
1.5,4,81.0,2220.0,9.3,1971,Europe,Sedan,24.4
4.4,6,261.0,4504.0,10.6,1973,USA,SUV,10.0
3.4,6,193.0,3887.0,10.6,1982,Japan,SUV,14.8
2.8,4,117.0,2934.0,10.4,1978,USA,Sedan,14.7
4.5,6,264.0,4297.0,10.0,1976,Europe,SUV,10.0
2.5,6,217.0,2627.0,8.2,1984,Europe,Sports,18.4
2.8,4,111.0,3033.0,12.1,1984,USA,Sedan,18.0
3.3,6,223.0,4467.0,9.3,1977,USA,Truck,10.0
3.1,6,226.0,2855.0,7.4,1981,USA,Sports,10.4
2.3,6,126.0,2960.0,8.9,1974,USA,Sedan,14.5
3.2,6,163.0,3208.0,7.8,1971,USA,Sedan,10.0
3.5,8,225.0,4101.0,9.6,1984,Japan,SUV,10.0
1.8,4,62.0,2281.0,11.5,1981,Japan,Sedan,27.7
2.8,4,190.0,2562.0,7.0,1982,Europe,Sports,21.5
2.7,4,122.0,2865.0,10.4,1978,USA,Sedan,12.9
2.0,6,118.0,2768.0,10.5,1982,USA,Sedan,15.1
3.5,8,264.0,4056.0,9.0,1970,Europe,SUV,10.0
5.0,8,317.0,5034.0,7.8,1981,Europe,Truck,10.0
2.7,6,190.0,3759.0,10.0,1983,USA,SUV,10.0
2.8,4,116.0,2841.0,10.0,1983,USA,Sedan,17.1
4.2,8,279.0,4224.0,8.8,1971,Japan,SUV,10.0
2.5,4,95.0,2992.0,10.2,1980,USA,Sedan,15.2
2.5,4,110.0,2712.0,10.8,1982,USA,Sedan,21.7
1.3,6,92.0,2487.0,8.3,1985,Japan,Sedan,27.6
1.9,6,183.0,2084.0,7.5,1980,Japan,Sports,24.4
3.6,8,257.0,4305.0,10.7,1984,Japan,Truck,10.0
1.6,4,56.0,2325.0,9.3,1972,Japan,Sedan,26.3
2.8,6,195.0,4380.0,10.7,1977,USA,SUV,10.0
2.8,4,110.0,2895.0,9.3,1982,USA,Sedan,16.0
2.3,4,183.0,2791.0,7.8,1976,USA,Sports,16.9
