Age,Income,MonthlySpending,SessionDuration,PageViewsPerVisit,AccountAge,DeviceType,MembershipTier,PurchaseCategory
29,69.0,571.34,20.3,11.3,21,Mobile,Platinum,0
30,105.1,276.37,35.5,12.8,15,Tablet,Silver,2
30,76.5,382.15,39.2,17.2,7,Mobile,Basic,1
48,20.0,119.59,21.1,9.2,46,Desktop,Silver,3
29,71.9,443.51,43.1,13.4,15,Mobile,Basic,1
32,84.8,552.95,18.3,15.3,1,Mobile,Platinum,0
64,53.7,357.26,25.2,16.6,1,Mobile,Silver,2
39,103.0,234.65,34.9,13.4,49,Mobile,Basic,2
45,62.7,125.51,24.6,22.3,26,Mobile,Silver,1
52,38.2,87.75,5.0,15.3,32,Desktop,Silver,2
40,84.1,140.73,29.7,10.3,16,Tablet,Silver,1
33,66.2,350.34,51.5,18.1,9,Mobile,Silver,1
50,69.3,365.16,21.2,18.6,22,Desktop,Silver,0
26,75.7,547.85,11.9,17.4,11,Mobile,Gold,0
42,97.1,579.22,27.0,13.8,17,Mobile,Platinum,0
50,61.0,294.44,30.3,11.0,13,Mobile,Silver,0
31,59.4,375.13,35.3,18.9,16,Desktop,Silver,1
36,65.6,301.07,13.4,18.3,31,Mobile,Platinum,0
49,46.3,375.53,29.6,16.3,24,Desktop,Gold,1
41,49.4,239.42,28.3,12.2,30,Desktop,Silver,3
35,68.9,437.86,5.0,16.1,18,Desktop,Gold,0
23,74.0,293.08,28.8,16.5,35,Mobile,Platinum,0
35,65.7,172.55,34.3,14.1,37,Tablet,Silver,2
51,69.3,470.8,16.3,10.7,25,Mobile,Platinum,0
33,66.9,369.79,27.4,7.5,39,Desktop,Silver,0
22,88.4,550.79,28.1,10.0,27,Mobile,Basic,0
45,90.9,452.28,17.2,18.2,24,Desktop,Silver,0
40,68.0,65.24,5.0,10.8,32,Desktop,Basic,3
75,58.3,445.02,22.1,3.6,27,Mobile,Basic,2
31,59.8,264.99,17.4,22.9,1,Mobile,Silver,1
48,49.1,50.23,15.0,9.2,6,Desktop,Basic,3
64,55.8,448.34,10.8,14.6,18,Mobile,Gold,2
38,70.0,648.06,18.0,18.1,21,Mobile,Basic,0
27,49.8,116.87,21.7,10.3,39,Mobile,Silver,3
42,33.6,338.79,36.2,8.5,19,Mobile,Basic,1
63,50.6,245.17,28.7,14.7,28,Desktop,Gold,2
18,42.1,91.91,23.4,3.0,60,Desktop,Gold,3
47,121.9,580.61,32.6,15.7,22,Mobile,Silver,0
28,48.0,438.62,11.5,16.0,24,Mobile,Basic,0
36,64.6,911.53,35.9,8.8,27,Mobile,Silver,0
22,83.6,347.79,32.7,20.0,40,Desktop,Platinum,0
34,75.5,432.22,23.7,8.9,54,Tablet,Gold,2
28,31.7,91.53,19.1,6.8,28,Desktop,Basic,3
42,87.1,391.22,16.9,9.9,20,Desktop,Gold,0
26,34.2,306.78,21.8,16.9,31,Mobile,Gold,1
22,79.2,609.4,22.0,21.8,40,Desktop,Platinum,0
52,81.1,538.11,36.3,17.2,18,Desktop,Basic,0
22,72.1,614.48,7.5,22.7,37,Desktop,Silver,0
35,99.6,597.4,13.8,17.9,22,Mobile,Gold,0
66,65.6,83.01,10.7,8.8,34,Desktop,Silver,3
43,94.4,499.03,13.9,14.0,37,Tablet,Silver,0
28,36.5,267.67,33.1,16.1,16,Desktop,Silver,1
41,97.0,548.74,27.3,8.0,1,Desktop,Silver,2
49,77.3,508.44,7.2,9.0,35,Mobile,Platinum,0
33,67.6,182.32,18.4,12.8,34,Mobile,Basic,4
27,54.8,147.41,17.7,14.8,40,Mobile,Silver,4
31,65.9,180.65,22.4,18.7,9,Desktop,Gold,0
23,52.5,439.83,37.3,20.1,16,Mobile,Silver,1
18,115.8,473.3,28.2,14.7,15,Mobile,Silver,0
58,50.3,295.21,21.5,21.4,24,Desktop,Silver,0
42,85.8,557.36,44.2,25.9,16,Desktop,Gold,0
38,24.5,262.96,21.9,25.0,29,Tablet,Basic,1
18,54.6,392.19,28.1,24.4,22,Mobile,Gold,1
23,52.6,556.4,25.2,14.3,19,Desktop,Silver,0
32,48.2,561.55,23.4,15.2,43,Tablet,Silver,0
22,46.7,150.48,9.1,10.6,29,Tablet,Silver,3
38,104.6,300.96,26.1,15.4,11,Mobile,Basic,0
45,121.5,447.45,29.0,15.4,15,Desktop,Platinum,0
18,42.3,140.8,47.0,19.3,15,Mobile,Silver,1
22,,282.3,21.0,13.0,16,Desktop,Gold,4
25,75.9,288.95,25.6,12.6,54,Desktop,Basic,0
32,29.7,266.58,35.2,30.0,12,Mobile,Basic,1
27,55.4,316.51,27.4,14.8,20,Mobile,Basic,2
32,74.7,472.44,25.8,17.2,34,Mobile,Gold,0
50,75.0,144.31,28.5,13.9,41,Tablet,Basic,2
28,61.8,363.88,29.3,20.2,19,Desktop,Platinum,0
31,51.2,354.66,33.3,33.7,9,Mobile,Gold,1
22,54.8,293.74,59.2,18.9,7,Mobile,Silver,1
31,55.3,359.46,39.7,17.0,16,Desktop,Platinum,1
27,52.4,496.48,14.8,12.9,12,Desktop,Gold,0
28,24.2,333.76,28.1,12.9,23,Tablet,Silver,2
45,35.9,394.66,26.7,10.4,45,Mobile,Basic,0
41,63.2,173.01,21.6,20.1,20,Desktop,Silver,0
32,64.8,472.42,31.2,26.9,34,Mobile,Gold,0
20,56.1,290.72,19.2,18.9,22,Desktop,Gold,1
35,45.9,228.61,18.0,30.7,18,Mobile,Silver,1
64,53.5,385.67,28.3,18.0,35,Desktop,Gold,0
19,50.4,310.78,50.7,11.6,30,Tablet,Silver,1
34,58.2,562.63,30.2,19.9,24,Mobile,Silver,0
42,62.6,183.42,24.6,17.2,3,Mobile,Silver,1
31,60.2,205.95,41.2,21.3,15,Desktop,Gold,0
46,40.3,389.21,24.5,12.0,25,Mobile,Silver,1
23,89.0,388.53,31.3,7.6,9,Desktop,Basic,0
30,59.9,171.34,24.2,14.9,34,Desktop,Basic,3
29,93.2,686.06,28.7,7.5,13,Mobile,Gold,0
36,90.2,554.45,27.2,14.0,20,Desktop,Gold,0
32,96.6,430.64,18.2,11.2,12,Desktop,Basic,0
36,68.5,79.75,21.3,8.0,24,Tablet,Silver,3
18,46.7,110.31,23.8,10.7,11,Tablet,Basic,3
46,79.2,479.76,24.9,12.4,27,Tablet,Silver,0
38,23.6,226.12,27.5,21.5,30,Tablet,Basic,1
35,54.0,283.37,20.8,10.6,42,Mobile,Gold,2
19,62.7,109.81,24.4,18.0,35,Tablet,Basic,1
29,20.0,80.11,30.3,23.7,22,Tablet,Gold,1
37,98.2,369.06,32.2,6.8,13,Mobile,Silver,0
35,77.3,459.28,17.6,14.0,6,Mobile,Gold,0
33,73.8,57.89,12.1,6.7,27,Mobile,Gold,3
46,61.1,248.6,5.0,11.8,20,Mobile,Basic,3
21,85.3,364.23,30.2,28.1,3,Mobile,Platinum,1
22,31.4,345.09,26.3,15.5,26,Mobile,Silver,0
21,91.1,485.94,30.9,5.5,28,Mobile,Basic,0
52,67.0,239.3,28.1,5.9,47,Desktop,Silver,2
32,42.1,81.79,26.1,7.9,37,Mobile,Basic,3
31,32.3,121.7,11.7,12.8,27,Tablet,Basic,3
58,64.6,249.74,12.0,9.3,21,Mobile,Gold,2
40,44.0,274.3,41.8,22.1,17,Mobile,Basic,1
26,64.2,563.35,23.2,8.3,45,Tablet,Basic,0
38,46.9,383.72,25.9,23.5,11,Desktop,Gold,0
31,45.8,68.18,18.6,9.9,37,Mobile,Silver,3
18,54.6,309.35,32.5,18.0,19,Mobile,Gold,1
31,65.0,424.52,38.1,14.1,24,Desktop,Silver,0
55,84.0,462.42,25.3,3.1,33,Tablet,Gold,0
23,48.1,238.9,40.2,17.7,39,Mobile,Silver,1
34,62.0,120.84,37.8,18.5,30,Desktop,Basic,0
37,47.4,377.46,31.7,9.7,1,Mobile,Basic,0
29,52.4,293.56,37.3,23.8,21,Mobile,Silver,1
38,66.3,156.04,15.0,15.5,11,Mobile,Gold,1
22,44.0,391.86,30.1,18.9,17,Mobile,Gold,1
48,79.2,425.94,45.0,9.7,20,Desktop,Silver,0
67,101.7,509.11,26.2,10.5,5,Desktop,Gold,2
30,101.6,304.09,28.3,14.1,32,Desktop,Basic,0
34,46.0,461.34,33.4,14.9,33,Mobile,Basic,0
37,81.4,354.09,34.2,16.4,40,Mobile,Gold,2
32,45.4,245.59,26.3,14.1,1,Mobile,Basic,1
27,65.3,597.03,37.2,18.6,36,Mobile,Gold,2
24,20.0,398.61,45.4,16.7,15,Mobile,Gold,1
23,61.9,392.49,12.6,22.5,15,Mobile,Basic,1
36,84.2,421.77,24.2,13.9,36,Desktop,Platinum,0
22,67.4,584.8,25.3,18.3,45,Tablet,Basic,0
45,76.9,373.35,5.0,14.2,20,Mobile,Platinum,0
32,39.4,309.0,28.8,23.6,23,Desktop,Gold,0
22,52.4,140.76,23.2,12.6,17,Desktop,Basic,4
56,54.8,399.04,26.9,18.9,17,Desktop,Silver,0
51,23.9,89.62,31.0,14.3,41,Desktop,Basic,3
30,75.3,192.42,21.9,26.1,18,Mobile,Gold,1
44,44.7,350.96,14.7,10.0,8,Desktop,Gold,2
18,79.0,529.74,30.5,16.2,46,Mobile,Basic,1
34,79.2,315.97,25.0,14.3,15,Mobile,Basic,1
25,28.1,405.51,25.0,12.4,16,Mobile,Silver,1
38,54.1,706.65,29.2,13.0,15,Desktop,Platinum,0
44,78.5,346.69,26.0,12.2,21,Mobile,Silver,2
45,81.0,333.98,40.2,15.4,12,Mobile,Basic,0
44,83.0,509.19,21.6,17.3,21,Mobile,Gold,0
27,86.0,203.29,24.0,17.3,6,Mobile,Silver,1
36,73.9,428.27,25.3,20.1,22,Mobile,Basic,0
49,71.2,88.59,20.7,11.0,14,Mobile,Silver,3
18,52.4,169.29,19.2,11.9,7,Mobile,Platinum,4
39,31.5,189.55,10.5,9.4,13,Mobile,Gold,3
30,92.1,454.41,29.1,10.1,7,Mobile,Platinum,0
36,68.6,543.97,24.4,16.0,5,Mobile,Gold,0
50,37.5,135.4,10.9,11.4,23,Tablet,Silver,3
23,61.3,518.6,41.8,14.3,31,Desktop,Silver,0
18,49.1,69.96,5.0,13.2,16,Mobile,Basic,4
53,44.9,240.81,14.1,13.2,13,Desktop,Silver,4
58,52.1,50.0,17.5,18.1,25,Mobile,Gold,3
46,103.8,482.84,18.3,3.0,32,Desktop,Basic,0
23,69.7,455.06,27.1,9.4,38,Mobile,Platinum,0
31,24.9,114.55,20.2,10.5,47,Mobile,Basic,3
24,91.4,477.65,21.6,5.5,41,Mobile,Silver,0
39,51.1,225.97,8.0,18.6,17,Mobile,Gold,0
21,44.8,304.31,25.3,23.7,8,Mobile,Silver,1
18,42.2,104.95,15.6,13.7,45,Mobile,Basic,3
25,44.2,214.29,23.0,16.1,14,Mobile,Basic,1
36,38.6,407.11,20.2,10.3,22,Desktop,Basic,1
18,102.8,550.84,13.0,7.6,44,Mobile,Silver,0
18,48.7,257.23,37.2,11.6,3,Desktop,Silver,1
18,61.0,203.0,24.6,11.7,1,Mobile,Basic,4
33,96.2,315.94,21.9,14.1,1,Mobile,Gold,0
38,53.4,405.76,34.1,18.6,9,Mobile,Silver,1
50,33.5,182.61,21.1,11.9,29,Desktop,Basic,3
54,68.7,503.53,31.6,8.1,18,Desktop,Basic,2
33,20.0,447.34,34.4,27.4,2,Mobile,Silver,1
28,82.0,350.14,14.1,14.0,43,Desktop,Silver,2
18,45.1,470.49,25.2,11.4,34,Desktop,Gold,0
34,87.1,383.15,41.4,10.9,49,Mobile,Gold,0
63,67.8,460.65,39.0,13.4,21,Desktop,Gold,2
54,20.0,408.11,22.3,18.6,39,Tablet,Gold,2
25,74.3,219.57,22.8,14.8,20,Desktop,Basic,3
47,44.1,146.89,22.1,7.0,35,Desktop,Gold,3
46,33.1,326.8,18.3,13.3,12,Mobile,Basic,1
29,,247.88,14.1,26.8,10,Tablet,Silver,1
48,89.1,412.27,20.2,20.7,33,Desktop,Silver,2
35,62.2,529.22,27.2,18.1,19,Mobile,Silver,1
19,52.1,137.59,24.2,14.0,17,Desktop,Basic,2
56,27.7,456.63,35.4,15.8,48,Desktop,Gold,2
42,43.8,120.1,30.7,6.0,16,Desktop,Silver,3
31,92.1,501.18,37.0,15.4,36,Desktop,Gold,0
35,89.4,395.21,44.1,15.9,21,Desktop,Silver,0
44,65.1,536.47,12.9,15.9,29,Mobile,Gold,0
18,38.9,146.34,43.4,29.3,21,Mobile,Gold,1
34,68.3,403.44,12.6,16.3,24,Desktop,Platinum,0
30,39.3,287.22,37.4,13.1,19,Mobile,Gold,1
35,42.1,221.21,32.3,13.2,21,Desktop,Silver,1
58,57.8,530.13,19.2,20.2,9,Mobile,Gold,0
30,36.4,362.24,21.6,23.3,15,Desktop,Basic,1
27,79.2,679.55,18.8,20.9,42,Mobile,Silver,0
38,64.1,730.29,25.3,11.0,10,Mobile,Basic,0
59,52.4,355.7,36.6,10.1,29,Desktop,Basic,2
35,88.7,538.61,23.2,15.3,20,Desktop,Silver,0
54,57.3,334.05,18.0,18.6,29,Mobile,Basic,0
30,38.5,289.24,14.4,20.9,27,Mobile,Silver,1
66,51.5,497.67,26.6,11.4,37,Desktop,Basic,2
31,48.6,500.62,22.9,14.2,9,Desktop,Gold,0
44,49.5,107.08,49.5,19.6,11,Desktop,Silver,1
35,100.6,612.45,16.4,11.6,35,Mobile,Silver,0
21,65.5,405.18,22.1,12.2,11,Mobile,Basic,0
60,88.6,163.79,45.8,17.6,19,Mobile,Silver,1
44,57.3,232.34,17.0,14.6,2,Mobile,Silver,1
29,79.7,399.93,29.7,19.5,37,Mobile,Gold,1
26,73.7,457.81,22.3,13.2,25,Desktop,Silver,2
26,59.6,149.49,18.3,9.0,18,Mobile,Basic,4
48,71.7,219.51,35.0,23.2,24,Mobile,Silver,1
29,67.8,845.68,27.4,13.1,1,Mobile,Gold,0
32,57.7,534.13,35.0,11.4,35,Tablet,Basic,2
29,77.8,461.0,32.8,19.8,30,Mobile,Basic,0
31,89.8,436.2,16.3,13.0,25,Mobile,Basic,0
44,71.3,268.62,25.5,15.6,26,Desktop,Gold,0
29,62.7,293.97,30.6,22.2,20,Desktop,Silver,0
32,53.2,104.73,22.1,8.3,6,Mobile,Basic,4
42,33.3,474.65,38.1,4.2,45,Desktop,Silver,2
31,55.5,261.49,42.1,12.6,24,Desktop,Gold,1
58,64.4,593.6,24.2,21.2,24,Desktop,Silver,0
30,46.7,372.47,30.0,22.0,25,Mobile,Gold,0
31,69.2,432.82,25.7,18.5,19,Mobile,Platinum,0
26,72.7,428.45,23.7,15.2,25,Desktop,Silver,0
18,42.0,558.0,19.6,11.9,25,Tablet,Basic,1
18,59.8,628.96,14.1,4.1,8,Desktop,Gold,2
26,67.3,419.03,47.9,18.5,1,Mobile,Basic,1
32,71.2,617.83,35.2,14.1,37,Desktop,Platinum,0
35,48.9,364.62,9.4,9.9,14,Desktop,Silver,4
45,33.7,,34.8,4.2,30,Tablet,Gold,2
18,43.0,189.72,38.1,20.7,5,Mobile,Silver,1
36,40.3,243.43,35.0,23.1,31,Tablet,Silver,1
31,78.6,515.92,24.2,6.0,28,Mobile,Gold,0
22,104.5,523.72,23.2,9.3,14,Desktop,Gold,0
29,85.2,327.84,37.0,21.8,18,Tablet,Basic,0
37,20.0,157.39,15.9,12.5,25,Desktop,Basic,2
40,85.6,165.05,24.0,8.1,35,Mobile,Gold,0
27,65.8,112.08,27.7,13.6,36,Mobile,Silver,0
20,54.9,272.7,33.0,11.5,25,Mobile,Silver,0
33,87.0,268.84,31.5,10.8,18,Mobile,Gold,0
41,45.3,126.47,5.0,4.5,37,Mobile,Silver,3
42,71.5,440.12,9.8,8.5,25,Desktop,Silver,2
29,29.7,320.23,43.2,20.6,9,Desktop,Gold,1
25,82.6,599.59,34.5,14.7,20,Mobile,Gold,0
37,30.3,386.54,27.4,27.6,23,Mobile,Basic,1
18,80.6,435.12,38.8,15.4,15,Mobile,Silver,1
52,77.9,50.0,27.7,13.3,23,Mobile,Platinum,0
31,91.1,617.95,27.3,13.3,24,Mobile,Gold,0
41,84.2,681.07,35.0,11.6,34,Desktop,Silver,0
26,36.6,308.0,5.0,9.5,16,Mobile,Silver,1
18,40.3,319.12,35.8,19.9,30,Mobile,Silver,1
32,46.9,433.78,33.9,18.4,41,Desktop,Silver,0
33,104.4,446.72,30.7,22.4,22,Desktop,Gold,0
30,31.2,494.3,25.3,21.0,30,Mobile,Silver,1
35,22.7,251.21,32.5,18.4,3,Mobile,Gold,1
61,46.1,76.0,21.9,9.4,12,Mobile,Silver,3
18,78.9,229.57,23.9,9.4,35,Mobile,Basic,1
44,83.4,441.05,11.4,11.0,26,Desktop,Basic,0
42,94.3,266.07,42.6,18.8,24,Desktop,Gold,0
18,50.9,50.0,31.9,22.2,18,Mobile,Silver,1
39,104.1,361.35,28.5,7.2,29,Mobile,Basic,0
27,41.3,203.96,26.1,22.3,5,Mobile,Gold,1
34,49.4,65.05,32.6,7.4,19,Desktop,Basic,3
39,38.1,390.62,32.0,21.5,15,Desktop,Basic,1
30,111.3,259.61,37.3,14.4,28,Tablet,Platinum,0
42,43.7,366.42,5.0,15.7,9,Mobile,Basic,1
37,67.6,304.09,23.3,22.2,19,Mobile,Basic,1
43,69.0,283.05,21.0,16.1,13,Desktop,Basic,1
51,49.2,120.81,21.0,8.5,15,Desktop,Basic,3
40,60.9,414.33,28.7,17.6,11,Desktop,Gold,0
19,38.1,295.29,17.1,3.1,4,Mobile,Basic,4
34,50.5,193.11,18.0,13.2,48,Tablet,Basic,3
49,80.7,155.51,28.7,20.2,23,Desktop,Gold,0
41,96.7,500.01,5.1,12.5,38,Mobile,Basic,0
25,110.7,702.22,17.9,15.7,16,Desktop,Gold,0
43,81.6,890.31,16.8,6.4,19,Mobile,Silver,0
25,56.6,306.81,29.1,12.5,22,Mobile,Gold,0
29,61.6,85.84,6.2,22.1,23,Mobile,Silver,1
43,71.1,494.58,38.3,4.4,29,Desktop,Gold,0
52,62.4,445.19,25.3,3.9,10,Desktop,Silver,0
56,72.1,457.13,26.5,16.8,30,Mobile,Gold,2
42,66.6,596.46,15.9,9.5,32,Mobile,Silver,0
57,51.6,323.97,40.6,18.2,54,Desktop,Silver,2
26,56.9,97.43,38.4,10.7,22,Desktop,Silver,0
31,48.9,516.25,13.5,10.8,1,Desktop,Silver,0
18,,279.76,24.6,32.0,36,Desktop,Basic,1
41,44.2,130.45,29.9,19.0,14,Mobile,Gold,1
23,51.6,139.3,11.8,12.8,3,Mobile,Basic,3
37,52.6,593.24,20.3,21.8,37,Tablet,Silver,2
75,43.1,204.35,21.2,12.1,4,Desktop,Silver,2
37,69.1,357.28,32.2,10.9,46,Desktop,Gold,0
54,80.1,448.27,33.2,20.5,14,Mobile,Silver,0
50,79.7,174.51,23.9,6.6,17,Mobile,Gold,2
41,29.2,374.31,27.6,9.1,27,Mobile,Silver,2
18,69.7,149.34,17.4,16.0,43,Mobile,Basic,4
23,84.0,343.87,20.7,11.4,10,Mobile,Silver,0
44,76.1,513.37,21.3,13.2,27,Mobile,Basic,0
34,45.4,75.72,40.1,9.3,47,Mobile,Gold,2
46,49.3,286.74,45.5,23.8,24,Mobile,Gold,0
46,39.2,50.0,10.7,10.1,12,Mobile,Basic,3
28,62.8,132.37,19.9,12.6,35,Desktop,Silver,3
31,49.0,385.65,32.7,21.5,36,Desktop,Silver,0
21,84.8,302.19,34.3,6.7,48,Desktop,Silver,2
32,26.4,362.29,44.3,22.7,31,Tablet,Basic,2
46,79.6,524.83,22.3,16.0,30,Mobile,Basic,0
39,62.4,66.7,19.6,15.7,44,Desktop,Silver,3
36,73.0,436.03,10.5,12.1,31,Tablet,Basic,1
41,50.2,186.96,23.0,6.4,60,Mobile,Silver,2
41,94.2,591.88,33.6,11.8,20,Mobile,Gold,0
40,56.0,159.26,7.6,12.1,25,Desktop,Silver,3
51,102.1,651.99,36.5,16.5,24,Desktop,Gold,0
32,83.1,444.74,18.2,21.5,25,Mobile,Gold,0
32,50.5,176.87,22.8,10.9,12,Desktop,Basic,3
21,64.4,525.14,17.1,23.0,39,Mobile,Platinum,0
19,56.4,107.13,18.7,18.8,19,Desktop,Platinum,0
32,29.7,263.84,14.7,12.0,14,Mobile,Basic,4
36,52.8,284.0,19.9,12.6,1,Mobile,Basic,4
55,67.4,433.61,36.0,15.7,19,Mobile,Silver,1
27,51.3,440.56,9.2,27.2,9,Mobile,Silver,1
42,100.1,570.11,41.5,17.8,22,Desktop,Gold,0
27,62.0,403.66,8.2,15.7,1,Mobile,Platinum,0
36,92.3,378.47,38.4,7.7,38,Mobile,Gold,0
65,53.9,192.25,15.9,18.7,17,Mobile,Gold,1
46,58.4,432.32,24.5,4.3,28,Desktop,Silver,2
32,68.6,520.83,19.5,16.2,23,Desktop,Gold,2
34,80.1,293.35,20.4,10.1,29,Desktop,Silver,2
35,87.5,479.02,35.5,14.6,22,Desktop,Platinum,0
27,64.3,214.75,23.9,16.8,32,Mobile,Silver,1
35,41.4,496.46,28.8,17.9,1,Mobile,Gold,0
40,68.3,192.33,36.6,17.7,1,Mobile,Gold,1
26,66.9,490.84,,17.7,8,Mobile,Basic,0
68,48.3,174.26,20.3,8.5,25,Tablet,Basic,3
49,82.2,628.06,17.3,12.9,15,Mobile,Gold,0
42,56.4,456.45,30.5,4.7,49,Mobile,Silver,0
37,75.7,437.72,32.9,18.7,28,Mobile,Platinum,0
68,32.5,368.15,28.6,15.3,17,Desktop,Silver,2
35,81.8,152.96,41.5,34.2,14,Mobile,Basic,1
35,86.3,361.29,37.4,9.4,3,Mobile,Gold,0
33,137.4,448.19,16.0,14.7,23,Tablet,Gold,0
31,102.1,381.86,34.5,9.5,49,Tablet,Gold,2
32,80.6,310.03,17.0,18.4,19,Mobile,Basic,0
34,50.8,440.86,22.3,11.5,30,Desktop,Silver,2
49,48.8,487.37,36.7,14.9,57,Tablet,Silver,2
29,124.0,747.55,25.1,16.9,40,Tablet,Platinum,0
34,61.9,,25.6,15.9,14,Desktop,Silver,0
35,45.3,314.91,13.8,7.8,14,Desktop,Silver,4
27,102.4,745.04,24.7,21.2,11,Desktop,Gold,0
44,74.7,50.0,19.9,11.9,12,Mobile,Gold,0
34,41.7,256.98,38.1,9.4,22,Desktop,Basic,2
47,20.0,171.08,30.1,6.8,14,Mobile,Basic,3
30,24.6,110.57,27.2,8.3,25,Mobile,Silver,4
